model name is decoder 
queue 8.79  s, infer 42.24 s, input 1.17  s, output 1.38  s 
Batch_size 1 , 9794  times, infer 2783.26   ms, avg 0.28 ms, 0.28 ms input 100.80    ms, avg 0.01 ms, output 93.56     ms, avg 0.01 ms 
Batch_size 20, 30    times, infer 5267.90   ms, avg 175.60 ms, 8.78 ms input 106.62    ms, avg 3.55 ms, output 102.91    ms, avg 3.43 ms 
Batch_size 21, 19    times, infer 4179.21   ms, avg 219.96 ms, 10.47 ms input 43.88     ms, avg 2.31 ms, output 39.21     ms, avg 2.06 ms 
Batch_size 22, 15    times, infer 4560.96   ms, avg 304.06 ms, 13.82 ms input 71.20     ms, avg 4.75 ms, output 30.55     ms, avg 2.04 ms 
Batch_size 23, 10    times, infer 3827.78   ms, avg 382.78 ms, 16.64 ms input 43.85     ms, avg 4.39 ms, output 18.61     ms, avg 1.86 ms 
Batch_size 24, 11    times, infer 3933.60   ms, avg 357.60 ms, 14.90 ms input 7.94      ms, avg 0.72 ms, output 24.41     ms, avg 2.22 ms 
Batch_size 25, 16    times, infer 5120.66   ms, avg 320.04 ms, 12.80 ms input 35.26     ms, avg 2.20 ms, output 26.36     ms, avg 1.65 ms 
Batch_size 26, 8     times, infer 4030.89   ms, avg 503.86 ms, 19.38 ms input 17.12     ms, avg 2.14 ms, output 20.24     ms, avg 2.53 ms 
Batch_size 27, 11    times, infer 3883.97   ms, avg 353.09 ms, 13.08 ms input 18.06     ms, avg 1.64 ms, output 10.32     ms, avg 0.94 ms 
Batch_size 28, 12    times, infer 4170.68   ms, avg 347.56 ms, 12.41 ms input 42.84     ms, avg 3.57 ms, output 37.18     ms, avg 3.10 ms 
Batch_size 29, 7     times, infer 3940.85   ms, avg 562.98 ms, 19.41 ms input 42.54     ms, avg 6.08 ms, output 6.13      ms, avg 0.88 ms 
Batch_size 30, 12    times, infer 4790.32   ms, avg 399.19 ms, 13.31 ms input 18.93     ms, avg 1.58 ms, output 18.70     ms, avg 1.56 ms 
Batch_size 31, 9     times, infer 4557.52   ms, avg 506.39 ms, 16.34 ms input 40.69     ms, avg 4.52 ms, output 13.80     ms, avg 1.53 ms 
Batch_size 32, 8     times, infer 3995.27   ms, avg 499.41 ms, 15.61 ms input 20.29     ms, avg 2.54 ms, output 60.00     ms, avg 7.50 ms 
Batch_size 33, 4     times, infer 1876.17   ms, avg 469.04 ms, 14.21 ms input 24.34     ms, avg 6.09 ms, output 4.44      ms, avg 1.11 ms 
Batch_size 34, 8     times, infer 5031.80   ms, avg 628.97 ms, 18.50 ms input 24.86     ms, avg 3.11 ms, output 13.26     ms, avg 1.66 ms 
Batch_size 35, 2     times, infer 1515.33   ms, avg 757.66 ms, 21.65 ms input 1.81      ms, avg 0.90 ms, output 0.99      ms, avg 0.50 ms 
Batch_size 36, 4     times, infer 3535.12   ms, avg 883.78 ms, 24.55 ms input 40.51     ms, avg 10.13 ms, output 7.75      ms, avg 1.94 ms 
Batch_size 37, 5     times, infer 3972.07   ms, avg 794.41 ms, 21.47 ms input 4.98      ms, avg 1.00 ms, output 5.64      ms, avg 1.13 ms 
Batch_size 38, 5     times, infer 4061.78   ms, avg 812.36 ms, 21.38 ms input 4.33      ms, avg 0.87 ms, output 8.34      ms, avg 1.67 ms 
Batch_size 39, 7     times, infer 5243.73   ms, avg 749.10 ms, 19.21 ms input 20.12     ms, avg 2.87 ms, output 13.07     ms, avg 1.87 ms 
Batch_size 41, 6     times, infer 4959.21   ms, avg 826.53 ms, 20.16 ms input 8.81      ms, avg 1.47 ms, output 14.94     ms, avg 2.49 ms 
Batch_size 42, 6     times, infer 5035.55   ms, avg 839.26 ms, 19.98 ms input 37.40     ms, avg 6.23 ms, output 6.21      ms, avg 1.04 ms 
Batch_size 43, 2     times, infer 2090.85   ms, avg 1045.42 ms, 24.31 ms input 12.99     ms, avg 6.50 ms, output 1.13      ms, avg 0.56 ms 
Batch_size 44, 3     times, infer 3744.01   ms, avg 1248.00 ms, 28.36 ms input 3.08      ms, avg 1.03 ms, output 5.73      ms, avg 1.91 ms 
Batch_size 45, 5     times, infer 4999.09   ms, avg 999.82 ms, 22.22 ms input 30.02     ms, avg 6.00 ms, output 6.36      ms, avg 1.27 ms 
Batch_size 46, 2     times, infer 2517.68   ms, avg 1258.84 ms, 27.37 ms input 9.57      ms, avg 4.79 ms, output 2.13      ms, avg 1.07 ms 
Batch_size 47, 7     times, infer 4779.45   ms, avg 682.78 ms, 14.53 ms input 24.46     ms, avg 3.49 ms, output 16.75     ms, avg 2.39 ms 
Batch_size 48, 1     times, infer 2050.78   ms, avg 2050.78 ms, 42.72 ms input 1.16      ms, avg 1.16 ms, output 1.86      ms, avg 1.86 ms 
Batch_size 49, 2     times, infer 2493.21   ms, avg 1246.61 ms, 25.44 ms input 2.35      ms, avg 1.17 ms, output 1.84      ms, avg 0.92 ms 
Batch_size 50, 3     times, infer 2408.41   ms, avg 802.80 ms, 16.06 ms input 3.34      ms, avg 1.11 ms, output 23.94     ms, avg 7.98 ms 
Batch_size 51, 1     times, infer 2237.32   ms, avg 2237.32 ms, 43.87 ms input 1.13      ms, avg 1.13 ms, output 1.79      ms, avg 1.79 ms 
Batch_size 53, 3     times, infer 4849.27   ms, avg 1616.42 ms, 30.50 ms input 15.53     ms, avg 5.18 ms, output 4.32      ms, avg 1.44 ms 
Batch_size 55, 1     times, infer 2420.86   ms, avg 2420.86 ms, 44.02 ms input 1.19      ms, avg 1.19 ms, output 2.36      ms, avg 2.36 ms 
Batch_size 56, 1     times, infer 2244.74   ms, avg 2244.74 ms, 40.08 ms input 1.14      ms, avg 1.14 ms, output 0.81      ms, avg 0.81 ms 
Batch_size 57, 3     times, infer 4259.81   ms, avg 1419.94 ms, 24.91 ms input 4.14      ms, avg 1.38 ms, output 3.95      ms, avg 1.32 ms 
Batch_size 58, 4     times, infer 5264.51   ms, avg 1316.13 ms, 22.69 ms input 7.18      ms, avg 1.80 ms, output 7.08      ms, avg 1.77 ms 
Batch_size 59, 1     times, infer 2237.32   ms, avg 2237.32 ms, 37.92 ms input 1.36      ms, avg 1.36 ms, output 1.20      ms, avg 1.20 ms 
Batch_size 61, 1     times, infer 2293.45   ms, avg 2293.45 ms, 37.60 ms input 2.10      ms, avg 2.10 ms, output 2.20      ms, avg 2.20 ms 
Batch_size 62, 2     times, infer 2314.55   ms, avg 1157.28 ms, 18.67 ms input 16.09     ms, avg 8.04 ms, output 2.19      ms, avg 1.09 ms 
Batch_size 64, 3     times, infer 4918.80   ms, avg 1639.60 ms, 25.62 ms input 4.71      ms, avg 1.57 ms, output 5.42      ms, avg 1.81 ms 
Batch_size 65, 1     times, infer 2527.30   ms, avg 2527.30 ms, 38.88 ms input 1.50      ms, avg 1.50 ms, output 2.69      ms, avg 2.69 ms 
Batch_size 67, 1     times, infer 2106.29   ms, avg 2106.29 ms, 31.44 ms input 2.32      ms, avg 2.32 ms, output 2.17      ms, avg 2.17 ms 
Batch_size 70, 1     times, infer 2674.41   ms, avg 2674.41 ms, 38.21 ms input 1.60      ms, avg 1.60 ms, output 1.91      ms, avg 1.91 ms 
Batch_size 71, 1     times, infer 2255.72   ms, avg 2255.72 ms, 31.77 ms input 1.68      ms, avg 1.68 ms, output 1.10      ms, avg 1.10 ms 
Batch_size 73, 1     times, infer 2267.63   ms, avg 2267.63 ms, 31.06 ms input 2.07      ms, avg 2.07 ms, output 1.46      ms, avg 1.46 ms 
Batch_size 74, 1     times, infer 2413.11   ms, avg 2413.11 ms, 32.61 ms input 2.44      ms, avg 2.44 ms, output 1.21      ms, avg 1.21 ms 
Batch_size 75, 2     times, infer 2476.70   ms, avg 1238.35 ms, 16.51 ms input 3.65      ms, avg 1.82 ms, output 2.31      ms, avg 1.15 ms 
Batch_size 76, 1     times, infer 2254.40   ms, avg 2254.40 ms, 29.66 ms input 2.67      ms, avg 2.67 ms, output 4.96      ms, avg 4.96 ms 
Batch_size 77, 2     times, infer 2352.85   ms, avg 1176.42 ms, 15.28 ms input 5.30      ms, avg 2.65 ms, output 9.70      ms, avg 4.85 ms 
Batch_size 80, 1     times, infer 2062.98   ms, avg 2062.98 ms, 25.79 ms input 1.66      ms, avg 1.66 ms, output 2.78      ms, avg 2.78 ms 
Batch_size 82, 1     times, infer 2236.21   ms, avg 2236.21 ms, 27.27 ms input 1.86      ms, avg 1.86 ms, output 1.61      ms, avg 1.61 ms 
Batch_size 83, 2     times, infer 2709.22   ms, avg 1354.61 ms, 16.32 ms input 4.10      ms, avg 2.05 ms, output 2.90      ms, avg 1.45 ms 
Batch_size 84, 2     times, infer 2623.03   ms, avg 1311.52 ms, 15.61 ms input 4.08      ms, avg 2.04 ms, output 2.86      ms, avg 1.43 ms 
Batch_size 94, 1     times, infer 2426.25   ms, avg 2426.25 ms, 25.81 ms input 6.36      ms, avg 6.36 ms, output 2.27      ms, avg 2.27 ms 
Batch_size 98, 1     times, infer 2175.95   ms, avg 2175.95 ms, 22.20 ms input 21.63     ms, avg 21.63 ms, output 1.59      ms, avg 1.59 ms 
Batch_size 100, 2     times, infer 3031.42   ms, avg 1515.71 ms, 15.16 ms input 6.86      ms, avg 3.43 ms, output 11.66     ms, avg 5.83 ms 
Batch_size 106, 1     times, infer 2579.84   ms, avg 2579.84 ms, 24.34 ms input 2.70      ms, avg 2.70 ms, output 2.71      ms, avg 2.71 ms 
Batch_size 107, 1     times, infer 2373.71   ms, avg 2373.71 ms, 22.18 ms input 3.99      ms, avg 3.99 ms, output 3.99      ms, avg 3.99 ms 
Batch_size 119, 1     times, infer 2548.72   ms, avg 2548.72 ms, 21.42 ms input 12.94     ms, avg 12.94 ms, output 1.50      ms, avg 1.50 ms 
Batch_size 128, 4     times, infer 5816.34   ms, avg 1454.09 ms, 11.36 ms input 17.91     ms, avg 4.48 ms, output 11.28     ms, avg 2.82 ms 
model name is feature_extractor 
queue 156.70 s, infer 592.65 s, input 32.58 s, output 14.65 s 
Batch_size 1 , 4690  times, infer 14540.79  ms, avg 3.10 ms, 3.10 ms input 626.01    ms, avg 0.13 ms, output 413.10    ms, avg 0.09 ms 
Batch_size 2 , 503   times, infer 2430.88   ms, avg 4.83 ms, 2.42 ms input 123.85    ms, avg 0.25 ms, output 74.28     ms, avg 0.15 ms 
Batch_size 3 , 549   times, infer 3909.81   ms, avg 7.12 ms, 2.37 ms input 190.25    ms, avg 0.35 ms, output 109.78    ms, avg 0.20 ms 
Batch_size 4 , 504   times, infer 5178.08   ms, avg 10.27 ms, 2.57 ms input 245.08    ms, avg 0.49 ms, output 135.17    ms, avg 0.27 ms 
Batch_size 5 , 288   times, infer 3611.00   ms, avg 12.54 ms, 2.51 ms input 173.49    ms, avg 0.60 ms, output 92.79     ms, avg 0.32 ms 
Batch_size 6 , 184   times, infer 2797.41   ms, avg 15.20 ms, 2.53 ms input 136.01    ms, avg 0.74 ms, output 68.71     ms, avg 0.37 ms 
Batch_size 7 , 172   times, infer 3121.15   ms, avg 18.15 ms, 2.59 ms input 154.93    ms, avg 0.90 ms, output 77.82     ms, avg 0.45 ms 
Batch_size 8 , 98    times, infer 2036.52   ms, avg 20.78 ms, 2.60 ms input 98.41     ms, avg 1.00 ms, output 47.50     ms, avg 0.48 ms 
Batch_size 9 , 69    times, infer 1585.70   ms, avg 22.98 ms, 2.55 ms input 80.84     ms, avg 1.17 ms, output 39.05     ms, avg 0.57 ms 
Batch_size 10, 49    times, infer 1246.00   ms, avg 25.43 ms, 2.54 ms input 65.25     ms, avg 1.33 ms, output 30.41     ms, avg 0.62 ms 
Batch_size 11, 46    times, infer 1271.72   ms, avg 27.65 ms, 2.51 ms input 65.33     ms, avg 1.42 ms, output 31.27     ms, avg 0.68 ms 
Batch_size 12, 30    times, infer 871.82    ms, avg 29.06 ms, 2.42 ms input 47.80     ms, avg 1.59 ms, output 20.86     ms, avg 0.70 ms 
Batch_size 13, 23    times, infer 828.84    ms, avg 36.04 ms, 2.77 ms input 40.39     ms, avg 1.76 ms, output 19.37     ms, avg 0.84 ms 
Batch_size 14, 36    times, infer 1318.97   ms, avg 36.64 ms, 2.62 ms input 73.07     ms, avg 2.03 ms, output 32.19     ms, avg 0.89 ms 
Batch_size 15, 19    times, infer 725.88    ms, avg 38.20 ms, 2.55 ms input 38.93     ms, avg 2.05 ms, output 17.64     ms, avg 0.93 ms 
Batch_size 16, 17    times, infer 685.90    ms, avg 40.35 ms, 2.52 ms input 37.10     ms, avg 2.18 ms, output 16.22     ms, avg 0.95 ms 
Batch_size 17, 16    times, infer 663.88    ms, avg 41.49 ms, 2.44 ms input 38.28     ms, avg 2.39 ms, output 16.69     ms, avg 1.04 ms 
Batch_size 18, 18    times, infer 892.39    ms, avg 49.58 ms, 2.75 ms input 46.69     ms, avg 2.59 ms, output 22.05     ms, avg 1.23 ms 
Batch_size 19, 14    times, infer 709.92    ms, avg 50.71 ms, 2.67 ms input 36.41     ms, avg 2.60 ms, output 15.83     ms, avg 1.13 ms 
Batch_size 20, 10    times, infer 529.90    ms, avg 52.99 ms, 2.65 ms input 28.32     ms, avg 2.83 ms, output 12.95     ms, avg 1.30 ms 
Batch_size 21, 5     times, infer 279.16    ms, avg 55.83 ms, 2.66 ms input 15.17     ms, avg 3.03 ms, output 7.06      ms, avg 1.41 ms 
Batch_size 22, 6     times, infer 380.01    ms, avg 63.33 ms, 2.88 ms input 16.91     ms, avg 2.82 ms, output 7.10      ms, avg 1.18 ms 
Batch_size 23, 11    times, infer 700.48    ms, avg 63.68 ms, 2.77 ms input 34.70     ms, avg 3.15 ms, output 14.11     ms, avg 1.28 ms 
Batch_size 24, 9     times, infer 576.49    ms, avg 64.05 ms, 2.67 ms input 33.07     ms, avg 3.67 ms, output 13.03     ms, avg 1.45 ms 
Batch_size 25, 4     times, infer 274.56    ms, avg 68.64 ms, 2.75 ms input 15.31     ms, avg 3.83 ms, output 5.70      ms, avg 1.43 ms 
Batch_size 26, 8     times, infer 528.57    ms, avg 66.07 ms, 2.54 ms input 28.72     ms, avg 3.59 ms, output 11.88     ms, avg 1.49 ms 
Batch_size 27, 4     times, infer 280.53    ms, avg 70.13 ms, 2.60 ms input 23.85     ms, avg 5.96 ms, output 6.06      ms, avg 1.52 ms 
Batch_size 28, 1     times, infer 80.00     ms, avg 80.00 ms, 2.86 ms input 4.77      ms, avg 4.77 ms, output 6.15      ms, avg 6.15 ms 
Batch_size 29, 6     times, infer 494.48    ms, avg 82.41 ms, 2.84 ms input 22.94     ms, avg 3.82 ms, output 10.04     ms, avg 1.67 ms 
Batch_size 30, 3     times, infer 197.20    ms, avg 65.73 ms, 2.19 ms input 13.13     ms, avg 4.38 ms, output 5.23      ms, avg 1.74 ms 
Batch_size 31, 2     times, infer 134.75    ms, avg 67.37 ms, 2.17 ms input 7.80      ms, avg 3.90 ms, output 3.95      ms, avg 1.98 ms 
Batch_size 32, 4     times, infer 321.73    ms, avg 80.43 ms, 2.51 ms input 18.65     ms, avg 4.66 ms, output 7.93      ms, avg 1.98 ms 
Batch_size 33, 7     times, infer 627.98    ms, avg 89.71 ms, 2.72 ms input 33.17     ms, avg 4.74 ms, output 13.72     ms, avg 1.96 ms 
Batch_size 35, 2     times, infer 141.00    ms, avg 70.50 ms, 2.01 ms input 10.49     ms, avg 5.24 ms, output 5.43      ms, avg 2.71 ms 
Batch_size 36, 3     times, infer 236.05    ms, avg 78.68 ms, 2.19 ms input 14.63     ms, avg 4.88 ms, output 6.50      ms, avg 2.17 ms 
Batch_size 37, 1     times, infer 104.71    ms, avg 104.71 ms, 2.83 ms input 5.04      ms, avg 5.04 ms, output 2.06      ms, avg 2.06 ms 
Batch_size 38, 1     times, infer 120.16    ms, avg 120.16 ms, 3.16 ms input 8.50      ms, avg 8.50 ms, output 3.13      ms, avg 3.13 ms 
Batch_size 39, 1     times, infer 105.99    ms, avg 105.99 ms, 2.72 ms input 6.32      ms, avg 6.32 ms, output 2.33      ms, avg 2.33 ms 
Batch_size 40, 4     times, infer 368.92    ms, avg 92.23 ms, 2.31 ms input 36.28     ms, avg 9.07 ms, output 9.69      ms, avg 2.42 ms 
Batch_size 41, 1     times, infer 113.48    ms, avg 113.48 ms, 2.77 ms input 7.20      ms, avg 7.20 ms, output 2.73      ms, avg 2.73 ms 
Batch_size 42, 1     times, infer 116.51    ms, avg 116.51 ms, 2.77 ms input 7.35      ms, avg 7.35 ms, output 3.12      ms, avg 3.12 ms 
Batch_size 43, 1     times, infer 118.36    ms, avg 118.36 ms, 2.75 ms input 6.88      ms, avg 6.88 ms, output 2.66      ms, avg 2.66 ms 
Batch_size 45, 1     times, infer 120.28    ms, avg 120.28 ms, 2.67 ms input 6.05      ms, avg 6.05 ms, output 2.56      ms, avg 2.56 ms 
Batch_size 46, 2     times, infer 248.97    ms, avg 124.48 ms, 2.71 ms input 15.87     ms, avg 7.93 ms, output 4.92      ms, avg 2.46 ms 
Batch_size 47, 1     times, infer 131.98    ms, avg 131.98 ms, 2.81 ms input 5.60      ms, avg 5.60 ms, output 2.09      ms, avg 2.09 ms 
Batch_size 49, 2     times, infer 244.59    ms, avg 122.30 ms, 2.50 ms input 15.05     ms, avg 7.53 ms, output 6.96      ms, avg 3.48 ms 
Batch_size 52, 1     times, infer 148.17    ms, avg 148.17 ms, 2.85 ms input 10.26     ms, avg 10.26 ms, output 4.52      ms, avg 4.52 ms 
Batch_size 53, 1     times, infer 154.85    ms, avg 154.85 ms, 2.92 ms input 8.17      ms, avg 8.17 ms, output 3.52      ms, avg 3.52 ms 
Batch_size 54, 1     times, infer 148.21    ms, avg 148.21 ms, 2.74 ms input 7.27      ms, avg 7.27 ms, output 3.67      ms, avg 3.67 ms 
Batch_size 57, 2     times, infer 278.25    ms, avg 139.13 ms, 2.44 ms input 16.93     ms, avg 8.47 ms, output 6.82      ms, avg 3.41 ms 
Batch_size 59, 1     times, infer 129.47    ms, avg 129.47 ms, 2.19 ms input 7.60      ms, avg 7.60 ms, output 3.50      ms, avg 3.50 ms 
Batch_size 66, 1     times, infer 192.91    ms, avg 192.91 ms, 2.92 ms input 11.49     ms, avg 11.49 ms, output 4.98      ms, avg 4.98 ms 
Batch_size 71, 1     times, infer 242.56    ms, avg 242.56 ms, 3.42 ms input 12.12     ms, avg 12.12 ms, output 7.36      ms, avg 7.36 ms 
Batch_size 74, 1     times, infer 219.52    ms, avg 219.52 ms, 2.97 ms input 11.82     ms, avg 11.82 ms, output 5.28      ms, avg 5.28 ms 
model name is joiner 
queue 25.21 s, infer 85.71 s, input 5.23  s, output 6.92  s 
Batch_size 1 , 111952 times, infer 31479.84  ms, avg 0.28 ms, 0.28 ms input 1034.30   ms, avg 0.01 ms, output 1001.82   ms, avg 0.01 ms 
Batch_size 2 , 25756 times, infer 6714.32   ms, avg 0.26 ms, 0.13 ms input 337.51    ms, avg 0.01 ms, output 274.44    ms, avg 0.01 ms 
Batch_size 3 , 9755  times, infer 2926.01   ms, avg 0.30 ms, 0.10 ms input 167.96    ms, avg 0.02 ms, output 120.44    ms, avg 0.01 ms 
Batch_size 4 , 8615  times, infer 2446.53   ms, avg 0.28 ms, 0.07 ms input 185.18    ms, avg 0.02 ms, output 122.63    ms, avg 0.01 ms 
Batch_size 5 , 6656  times, infer 1829.76   ms, avg 0.27 ms, 0.05 ms input 139.87    ms, avg 0.02 ms, output 108.75    ms, avg 0.02 ms 
Batch_size 6 , 5260  times, infer 1722.87   ms, avg 0.33 ms, 0.05 ms input 100.39    ms, avg 0.02 ms, output 98.63     ms, avg 0.02 ms 
Batch_size 7 , 4804  times, infer 1402.39   ms, avg 0.29 ms, 0.04 ms input 109.41    ms, avg 0.02 ms, output 98.86     ms, avg 0.02 ms 
Batch_size 8 , 4346  times, infer 1687.08   ms, avg 0.39 ms, 0.05 ms input 76.70     ms, avg 0.02 ms, output 100.19    ms, avg 0.02 ms 
Batch_size 9 , 3571  times, infer 1266.50   ms, avg 0.35 ms, 0.04 ms input 67.76     ms, avg 0.02 ms, output 86.78     ms, avg 0.02 ms 
Batch_size 10, 3164  times, infer 1169.16   ms, avg 0.37 ms, 0.04 ms input 56.50     ms, avg 0.02 ms, output 82.56     ms, avg 0.03 ms 
Batch_size 11, 3391  times, infer 1198.55   ms, avg 0.35 ms, 0.03 ms input 50.74     ms, avg 0.01 ms, output 93.83     ms, avg 0.03 ms 
Batch_size 12, 3512  times, infer 1272.90   ms, avg 0.36 ms, 0.03 ms input 62.03     ms, avg 0.02 ms, output 104.23    ms, avg 0.03 ms 
Batch_size 13, 2877  times, infer 1248.23   ms, avg 0.43 ms, 0.03 ms input 56.12     ms, avg 0.02 ms, output 89.96     ms, avg 0.03 ms 
Batch_size 14, 3414  times, infer 1291.22   ms, avg 0.38 ms, 0.03 ms input 53.67     ms, avg 0.02 ms, output 112.65    ms, avg 0.03 ms 
Batch_size 15, 2617  times, infer 929.13    ms, avg 0.36 ms, 0.02 ms input 43.74     ms, avg 0.02 ms, output 89.78     ms, avg 0.03 ms 
Batch_size 16, 2726  times, infer 1121.12   ms, avg 0.41 ms, 0.03 ms input 65.43     ms, avg 0.02 ms, output 100.77    ms, avg 0.04 ms 
Batch_size 17, 2363  times, infer 831.02    ms, avg 0.35 ms, 0.02 ms input 53.37     ms, avg 0.02 ms, output 89.88     ms, avg 0.04 ms 
Batch_size 18, 1805  times, infer 633.78    ms, avg 0.35 ms, 0.02 ms input 33.08     ms, avg 0.02 ms, output 72.84     ms, avg 0.04 ms 
Batch_size 19, 1799  times, infer 781.49    ms, avg 0.43 ms, 0.02 ms input 44.30     ms, avg 0.02 ms, output 76.43     ms, avg 0.04 ms 
Batch_size 20, 1989  times, infer 723.91    ms, avg 0.36 ms, 0.02 ms input 33.20     ms, avg 0.02 ms, output 85.85     ms, avg 0.04 ms 
Batch_size 21, 1693  times, infer 838.08    ms, avg 0.50 ms, 0.02 ms input 28.55     ms, avg 0.02 ms, output 76.56     ms, avg 0.05 ms 
Batch_size 22, 1585  times, infer 646.50    ms, avg 0.41 ms, 0.02 ms input 23.87     ms, avg 0.02 ms, output 73.62     ms, avg 0.05 ms 
Batch_size 23, 2053  times, infer 769.75    ms, avg 0.37 ms, 0.02 ms input 32.55     ms, avg 0.02 ms, output 98.42     ms, avg 0.05 ms 
Batch_size 24, 1287  times, infer 468.42    ms, avg 0.36 ms, 0.02 ms input 36.82     ms, avg 0.03 ms, output 66.38     ms, avg 0.05 ms 
Batch_size 25, 1323  times, infer 688.39    ms, avg 0.52 ms, 0.02 ms input 20.13     ms, avg 0.02 ms, output 68.51     ms, avg 0.05 ms 
Batch_size 26, 1792  times, infer 833.51    ms, avg 0.47 ms, 0.02 ms input 25.87     ms, avg 0.01 ms, output 95.39     ms, avg 0.05 ms 
Batch_size 27, 1110  times, infer 427.73    ms, avg 0.39 ms, 0.01 ms input 19.95     ms, avg 0.02 ms, output 61.89     ms, avg 0.06 ms 
Batch_size 28, 985   times, infer 393.20    ms, avg 0.40 ms, 0.01 ms input 22.08     ms, avg 0.02 ms, output 57.73     ms, avg 0.06 ms 
Batch_size 29, 1098  times, infer 457.61    ms, avg 0.42 ms, 0.01 ms input 17.53     ms, avg 0.02 ms, output 66.51     ms, avg 0.06 ms 
Batch_size 30, 1557  times, infer 597.78    ms, avg 0.38 ms, 0.01 ms input 23.63     ms, avg 0.02 ms, output 95.25     ms, avg 0.06 ms 
Batch_size 31, 907   times, infer 381.18    ms, avg 0.42 ms, 0.01 ms input 43.72     ms, avg 0.05 ms, output 57.37     ms, avg 0.06 ms 
Batch_size 32, 802   times, infer 360.72    ms, avg 0.45 ms, 0.01 ms input 13.48     ms, avg 0.02 ms, output 53.62     ms, avg 0.07 ms 
Batch_size 33, 840   times, infer 351.23    ms, avg 0.42 ms, 0.01 ms input 23.26     ms, avg 0.03 ms, output 56.91     ms, avg 0.07 ms 
Batch_size 34, 697   times, infer 298.60    ms, avg 0.43 ms, 0.01 ms input 12.29     ms, avg 0.02 ms, output 48.31     ms, avg 0.07 ms 
Batch_size 35, 985   times, infer 434.44    ms, avg 0.44 ms, 0.01 ms input 26.08     ms, avg 0.03 ms, output 71.96     ms, avg 0.07 ms 
Batch_size 36, 872   times, infer 432.70    ms, avg 0.50 ms, 0.01 ms input 20.98     ms, avg 0.02 ms, output 63.04     ms, avg 0.07 ms 
Batch_size 37, 822   times, infer 467.83    ms, avg 0.57 ms, 0.02 ms input 12.74     ms, avg 0.02 ms, output 61.53     ms, avg 0.07 ms 
Batch_size 38, 1486  times, infer 910.49    ms, avg 0.61 ms, 0.02 ms input 41.73     ms, avg 0.03 ms, output 113.48    ms, avg 0.08 ms 
Batch_size 39, 888   times, infer 645.79    ms, avg 0.73 ms, 0.02 ms input 17.38     ms, avg 0.02 ms, output 68.60     ms, avg 0.08 ms 
Batch_size 40, 598   times, infer 284.47    ms, avg 0.48 ms, 0.01 ms input 14.01     ms, avg 0.02 ms, output 47.33     ms, avg 0.08 ms 
Batch_size 41, 740   times, infer 335.39    ms, avg 0.45 ms, 0.01 ms input 17.79     ms, avg 0.02 ms, output 60.77     ms, avg 0.08 ms 
Batch_size 42, 364   times, infer 203.24    ms, avg 0.56 ms, 0.01 ms input 7.03      ms, avg 0.02 ms, output 30.29     ms, avg 0.08 ms 
Batch_size 43, 392   times, infer 165.06    ms, avg 0.42 ms, 0.01 ms input 7.77      ms, avg 0.02 ms, output 32.86     ms, avg 0.08 ms 
Batch_size 44, 498   times, infer 262.28    ms, avg 0.53 ms, 0.01 ms input 7.79      ms, avg 0.02 ms, output 43.39     ms, avg 0.09 ms 
Batch_size 45, 643   times, infer 306.01    ms, avg 0.48 ms, 0.01 ms input 11.32     ms, avg 0.02 ms, output 56.69     ms, avg 0.09 ms 
Batch_size 46, 716   times, infer 318.17    ms, avg 0.44 ms, 0.01 ms input 36.62     ms, avg 0.05 ms, output 64.27     ms, avg 0.09 ms 
Batch_size 47, 727   times, infer 268.91    ms, avg 0.37 ms, 0.01 ms input 21.94     ms, avg 0.03 ms, output 67.05     ms, avg 0.09 ms 
Batch_size 48, 504   times, infer 262.73    ms, avg 0.52 ms, 0.01 ms input 16.04     ms, avg 0.03 ms, output 45.82     ms, avg 0.09 ms 
Batch_size 49, 302   times, infer 171.43    ms, avg 0.57 ms, 0.01 ms input 58.29     ms, avg 0.19 ms, output 28.93     ms, avg 0.10 ms 
Batch_size 50, 302   times, infer 115.10    ms, avg 0.38 ms, 0.01 ms input 8.71      ms, avg 0.03 ms, output 28.77     ms, avg 0.10 ms 
Batch_size 51, 378   times, infer 201.25    ms, avg 0.53 ms, 0.01 ms input 29.22     ms, avg 0.08 ms, output 36.48     ms, avg 0.10 ms 
Batch_size 52, 319   times, infer 157.77    ms, avg 0.49 ms, 0.01 ms input 3.96      ms, avg 0.01 ms, output 31.43     ms, avg 0.10 ms 
Batch_size 53, 312   times, infer 198.90    ms, avg 0.64 ms, 0.01 ms input 6.38      ms, avg 0.02 ms, output 32.24     ms, avg 0.10 ms 
Batch_size 54, 624   times, infer 439.18    ms, avg 0.70 ms, 0.01 ms input 14.46     ms, avg 0.02 ms, output 64.54     ms, avg 0.10 ms 
Batch_size 55, 237   times, infer 126.20    ms, avg 0.53 ms, 0.01 ms input 4.07      ms, avg 0.02 ms, output 25.08     ms, avg 0.11 ms 
Batch_size 56, 190   times, infer 97.23     ms, avg 0.51 ms, 0.01 ms input 9.26      ms, avg 0.05 ms, output 20.09     ms, avg 0.11 ms 
Batch_size 57, 192   times, infer 120.33    ms, avg 0.63 ms, 0.01 ms input 4.00      ms, avg 0.02 ms, output 20.92     ms, avg 0.11 ms 
Batch_size 58, 363   times, infer 239.26    ms, avg 0.66 ms, 0.01 ms input 11.64     ms, avg 0.03 ms, output 39.56     ms, avg 0.11 ms 
